"Part";"Value";"Device";"Package";"Description";"DATASHEET";"LINK";"MFGPN";"PROD_ID";"VALUE";
"C1";"4.7uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";
"C2";"4.7uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";
"C3";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";
"C4";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";
"C5-EEPROM";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";
"C6";"1.0nF";"1.0UF-16V-10%(0402)";"0402-CAP";"";"";"";"";"CAP-12417";"1.0uF";
"D1";"RB751V40T1G";"DIODESOD";"SOD-323";"Diode";"";"";"";"DIO-09646";"";
"JP1";"";"M04PTH";"1X04";"Header 4";"";"";"";"";"";
"L1";"5.6nH";"INDUCTOR0402";"C0402";"Inductors";"";"";"";"";"";
"L2";"BLM15HD102SN1";"BLM15HD102SN1";"0402-FERRITE";"EMIFIL (R) Chip Ferrite Bead for GHz Noise";"";"";"";"";"";
"L3";"BLM15HD102SN1";"BLM15HD102SN1";"0402-FERRITE";"EMIFIL (R) Chip Ferrite Bead for GHz Noise";"";"";"";"";"";
"LED1";"Green";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";"";
"LED2";"Blue";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";"";
"LOGO1";"OSHW-LOGOTOP";"OSHW-LOGOTOP";"OSHW-LOGO-M-TOP";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";"";"";"";
"LOGO2";"OSHW-LOGOBOTTOM";"OSHW-LOGOBOTTOM";"OSHW-LOGO-M-BOTTOM";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";"";"";"";
"R1";"0";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";
"R2";"330R";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";
"R3";"DNP";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";
"R4";"0";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";
"R5";"1K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";
"R6";"0";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";
"R7";"330R";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";
"STANDOFF1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";"";
"STANDOFF2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";"";
"STANDOFF3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";"";
"STANDOFF4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";"";
"U$9";"EXPLORE-LABS-LOGO";"EXPLORE-LABS-LOGO";"EXPLORE-LABS-LOGO-TOP";"";"";"";"";"";"";
"U1";"UBLOX-MAX-M8Q";"UBLOX-MAX-M8Q";"UBLOX-MAX-M8";"";"";"";"";"";"";
"U2";"FAR-F6KA-1G5754-L4AJ";"FAR-F6KA-1G5754-L4AJ";"QCS5E";"";"";"";"";"";"";
"U3";"BGU7007,115";"BGU7007,115";"SOT886";"";"";"";"";"";"";
"U4";"GP.1575.25.4.A.02";"GP.1575.25.4.A.02";"GP.1575.25.4.A.02";"Taoglas GP.1575.25.4.A.02 4mm thick GPS Patch Antenna, 1575MHz";"http://www.taoglas.com/images/product_images/original_images/GP.1575.25.4.A.02%20GPS%20Patch%20Antenna%201575MHz%20190410.pdf";"http://www.taoglas.com/antennas/GPS-GLONASS_Antennas/Internal_GPS_-_Passive_Ceramic_Patch_Antennas/";"GP.1575.25.4.A.02";"";"";
"U5";"ADP122AUJZ-3.3";"ADP122AUJZ-3.3";"SOT-23-5";"";"";"";"";"";"";
"U6";"TPS72218DBVT";"TPS72218DBVT";"SOT-23-5";"";"";"";"";"";"";
"U7";"24AA32AT-I/OT";"24AA32AT-I/OT";"SOT-23-5";"";"";"";"";"";"";
"U8";"EM406";"EM406";"EM406";"EM406 GPS Connector";"";"";"";"";"";
"U9";"PAS311HR-VA6R";"PAS311HR-VA6R";"PA311";"";"";"";"";"";"";
